attacks,DATETIME,attack_number
1500,12/6/2019 10:30:00,1-start
1799,12/6/2019 10:34:59,1-stop
2400,12/6/2019 10:45:00,2-start
2699,12/6/2019 10:49:59,2-stop
3300,12/6/2019 11:00:00,3-start
3599,12/6/2019 11:04:59,3-stop
4200,12/6/2019 11:15:00,4-start
4499,12/6/2019 11:19:59,4-stop
8700,12/6/2019 12:30:00,5-start
8879,12/6/2019 12:32:59,5-stop
9480,12/6/2019 12:43:00,6-start
9659,12/6/2019 12:45:59,6-stop
10260,12/6/2019 12:56:00,7-start
10439,12/6/2019 12:58:59,7-stop
11040,12/6/2019 13:09:00,8-start
11219,12/6/2019 13:11:59,8-stop
11820,12/6/2019 13:22:00,9-start
11999,12/6/2019 13:24:59,9-stop
